gene,MIS1,MIS2,MIS3,MIS4,MIS5,MIS6,ISMF,ISMU,NIS1,NIS2
rbcS,-3,0.99640707,-3,0.555181057,-3,-3,1.231366918,-3,-3,1.456396044
rbcL,2.192050851,1.708080751,1.530059471,-0.026631526,1.93062407,1.687628097,1.325888291,-3,-3,-3
PRK,0.740089219,1.663156366,-3,0.693950885,1.069928817,-3,0.80774682,-3,1.615943153,1.362838838
coxL,2.434776658,2.466394968,2.510417367,2.427317716,2.816777025,2.618496343,2.609659907,-3,1.24385955,1.310906262
coxM,2.536389862,2.32368624,2.195399377,2.478227747,2.651893055,2.033692194,2.779865013,0.833159885,0.939170659,1.539117285
coxS,2.872557817,2.615431351,2.631030149,2.994736977,3.228881328,3.376731576,3.015296547,-3,1.970597946,1.338279305
pmoA,2.641937547,2.356049044,2.561073082,1.257514544,2.305927008,2.79584029,3.393128888,-3,2.036035966,1.783542422
pmoB,1.994821337,1.968715724,2.19068255,1.87653671,1.663062703,1.725895166,2.775081473,-3,1.477119908,1.785283178
pmoC,2.372251071,2.705998972,2.635059781,2.245293713,2.787700213,2.63649911,3.098064638,1.965926457,0.654183283,2.274719435
amoA,2.738546507,2.523348282,2.653530973,2.592944347,1.134441194,2.66068888,2.351241866,-3,0.865930297,0.589854828
amoB,2.684217792,2.527285193,2.181031355,2.301015271,2.633286763,2.453929943,2.637634518,-3,0.828516021,0.609291332
amoC,2.493590932,2.796428586,2.815280188,1.804886605,2.715237145,1.755865979,2.714976187,-3,1.953922679,2.096029529
nirK,3.800808119,3.782628204,3.849000336,3.419852083,3.330097787,3.544680366,3.503906187,2.484783417,2.40594496,2.399787861
nirD,-3,1.019069101,-3,-3,1.302486238,1.481818396,1.43011316,-3,0.321574323,-3
nirB,1.537705711,1.182016329,1.186474545,0.85677329,1.12331507,-3,0.813744982,1.262157616,-3,0.47405072
aprB,2.558287536,2.600232273,2.696868026,2.50964002,2.317098477,2.466056404,1.957800918,-3,0.857921374,2.065611511
aprA,2.757298905,2.55969977,2.43817643,2.213739664,2.298923776,2.651803371,1.931429459,-3,0.938947987,1.347397838
