pathway,Alteromonas macleodii_MIS,Alteromonas macleodii_NIS,Nitrosopelagicus sp000484935_MIS,Nitrosopelagicus sp000484935_NIS,Oleibacter sp002331105_MIS,Oleibacter sp002331105_NIS,Nitrosopelagicus sp013390745_MIS,Nitrosopelagicus sp013390745_NIS,CG-Epi1 sp002506485_MIS,CG-Epi1 sp002506485_NIS,Glaciecola sp014872805_MIS,Glaciecola sp014872805_NIS,Oleibacter sp006212115_MIS,Oleibacter sp006212115_NIS,Pseudothioglobus autotrophicus A_MIS,Pseudothioglobus autotrophicus A_NIS,GCA-002701945 sp913041075_MIS,GCA-002701945 sp913041075_NIS,Thalassarchaeum sp002507125_MIS,Thalassarchaeum sp002507125_NIS
E,1.368005966,3.235603144,3.417131568,1.457424966,-0.352228491,2.967354893,2.897090544,1.276580093,2.617051496,1.000697611,-0.263374537,3.279727151,0.107580184,3.348627283,3.736229643,1.913071162,2.926481947,1.284677659,2.514113657,0.869006474
G,1.768006283,2.95655258,2.222640529,0.814535287,-3,2.753256518,2.09030198,0.549645702,2.135728311,-3,-0.125445014,2.70151835,0.262164598,2.727096774,2.779181856,0.846789452,2.83051329,1.568647158,1.686410141,-3
D,0.587340424,2.53969386,2.309939599,0.909955963,-0.073435214,1.725870981,1.989041174,-0.011870422,1.189636411,0.371293083,-3,2.397659142,-0.070527021,2.912859302,2.048666531,0.408508263,2.025064055,0.400331111,1.730036667,0.229275125
N,-3,2.883356576,0.625434283,-3,0.273574672,2.696213887,1.035419667,-3,2.041160662,0.503715254,-3,1.830437278,0.547138546,3.278662411,0.544685866,-3,2.25402637,0.048968232,-0.361016428,-3
M,1.728600575,3.525664009,2.882117444,0.778607996,-3,2.773490226,2.465051637,1.394881315,1.961844653,-3,0.353303053,2.764609351,0.517897779,3.385291944,2.392808487,0.499016707,2.96274084,1.709632992,1.335844068,-3
H,-3,-3,-3,-3,-0.089620342,2.581233545,-3,-3,-3,-3,-3,-3,0.065748023,2.966065383,2.710273644,1.355664171,2.889076159,1.769313219,1.794009514,-3
Z,0.546443159,2.978107372,0.529315092,-3,-0.619791654,2.892983089,1.363596228,0.341309362,1.582525175,0.484919442,0.653264086,3.447148141,0.235644529,2.71352308,1.429516266,-3,2.569150273,1.301634916,0.836008565,-3
C,2.585922603,3.790467418,3.072746427,1.190654833,0.439290368,3.489103092,2.704240782,1.323937949,2.879543323,1.091022199,0.257624057,3.353735465,0.695407963,3.124080361,3.490526111,1.620873035,3.308392423,1.90278537,2.478411815,0.523443694
W,-3,-3,-3,-3,-3,-3,-3,-3,0.899564357,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
S,0.903491741,2.872040421,1.183292267,-0.418731885,0.482927581,2.799243379,1.651063586,-3,2.254433644,0.858128335,-3,2.392688547,-3,3.078785161,2.018773234,0.156744752,2.624246672,1.025795318,1.774308598,-0.537581935
R,1.358626443,2.930969809,2.141255916,0.618823326,-3,2.643507475,2.010140435,0.166076495,2.495947633,0.926195549,0.045128951,2.638132302,0.716200235,3.184547186,2.452317217,0.492404087,3.127684416,1.44285906,1.944094781,-0.226994012
P,1.164672569,3.456293401,2.15792766,0.468316604,0.126989144,2.933324353,3.335780924,2.25493828,2.805522329,0.607690969,0.663503324,3.116413502,0.217417979,2.952987605,2.856958285,1.167981135,2.844321134,1.775632484,1.438806585,-3
