OTU ID	WRNA01_1	WRNA05_1	WRNA06_1	WRNA10_1	WRNA11_1	WRNA12_1	WRNA13_1	WRNA14_1	WRNA15_1	WRNA16_1
d__Archaea;Other;Other;Other;Other	4.14E-05	4.09E-05	0	4.61E-05	7.10E-05	1.66E-05	0.000287805	0	0	0
d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales	2.76E-06	0.00E+00	0	0	0	0.00E+00	0	0	0	0
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae	0	0.00E+00	1.66E-05	0	0	0	0	0	0	0
d__Archaea;p__Crenarchaeota;Other;Other;Other	0	1.44E-05	0	1.92E-05	0	0.00E+00	8.57E-06	0	0	0
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;Other;Other	0.00E+00	0.00E+00	1.38E-05	0	0	0	0	0	0	0
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__Group_1.1c	3.68E-06	0.00E+00	0	2.03E-05	0	1.11E-05	0	0	0	0
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Marine_Benthic_Group_A;f__Marine_Benthic_Group_A	3.77E-05	1.32E-04	7.46E-05	0.000227645	5.81E-05	4.99E-05	6.85E-06	0	9.88E-06	0
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae	0.023041068	4.41E-02	3.15E-02	0.022030549	0.016398273	4.23E-02	0.018183095	0.004539645	0.001343699	0.002125744
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__uncultured;f__uncultured	4.50E-05	1.06E-04	0	0.000100383	2.15E-05	0.000149662	2.74E-05	0	0	3.48E-06
d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__Hydrothermarchaeales	9.19E-06	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales	0	0.00E+00	0.00E+00	0	0	3.88E-05	0	0	0	0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;Other	1.84E-05	5.54E-05	9.12E-05	5.10E-05	0	5.27E-05	5.14E-06	0	0	0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011_GWC1_47_15	1.65E-05	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5	1.00E-04	0.000206976	1.46E-04	9.43E-05	1.29E-05	8.59E-05	7.37E-05	0	0	0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA286-E23	4.41E-05	0.000101081	1.11E-05	5.81E-05	1.08E-05	4.99E-05	2.57E-05	0	0	5.21E-06
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales	3.42E-04	0.000659435	4.20E-04	0.000447062	2.80E-05	3.52E-04	0.000185017	0	0	1.91E-05
d__Archaea;p__Thermoplasmatota;Other;Other;Other	7.72E-05	0	3.59E-05	1.04E-05	8.39E-05	8.04E-05	0	0	0	1.39E-05
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;Other;Other	0.00E+00	9.15E-05	0.00E+00	0	0.00E+00	0.00E+00	0	0	0	0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II	0.000390651	0.000854378	0.000732402	0.000735595	3.74E-04	2.63E-04	0.00010964	0	8.23E-06	1.39E-05
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__uncultured	0	0	0	0	0.00E+00	0	0	0	4.94E-06	0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmata;f__Thermoplasmata	0.000511983	0.002238229	0.001509025	0.000785512	4.52E-04	0.001075346	0.000423142	0.000701874	1.98E-05	0.000163385
d__Bacteria;Other;Other;Other;Other	0.043498323	0.042071493	4.15E-02	0.060108699	0.030684663	0.058135216	0.047258231	0.025800314	0.008735688	0.015031426
d__Bacteria;p__Acidobacteriota;Other;Other;Other	0.00E+00	0	0	0.000204058	6.45E-06	0	3.43E-06	0	0	1.04E-05
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;Other;Other	3.68E-06	0	0.00E+00	8.78E-06	7.96E-05	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae	2.67E-05	0	0	1.81E-05	3.01E-05	0.00E+00	1.03E-05	0	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae	2.76E-06	0.00E+00	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__PAUC26f	1.58E-04	0	0.00E+00	1.76E-05	0	5.54E-06	0.000101074	0	8.23E-06	3.48E-05
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	0.00E+00	0.00E+00	0	2.85E-05	0	3.05E-05	0	0	0	2.26E-05
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Acanthopleuribacterales;f__Acanthopleuribacteraceae	1.56E-05	2.17E-05	0.00E+00	0.000229291	0.000546251	1.35E-03	7.88E-05	0	0	0
d__Bacteria;p__Acidobacteriota;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11	0.00E+00	0.00E+00	0	0	0	5.54E-05	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Subgroup_21;o__Subgroup_21;f__Subgroup_21	5.70E-05	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22	0.00E+00	0.00E+00	0	0	7.96E-05	0.000914599	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Subgroup_26;o__Subgroup_26;f__Subgroup_26	7.35E-05	2.07E-04	4.97E-05	0	4.30E-05	0	5.14E-05	0	0	0
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae	1.38E-05	5.29E-05	0	6.03E-05	7.61E-04	3.05E-05	0.000260395	0	0	0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;Other	7.72E-05	0	0	1.65E-05	0.00E+00	3.60E-05	0.000930226	9.01E-05	7.74E-05	0.000109503
