WRNA07,WRNA08,WRNA09,WRNA10,WRNA11,WRNA12,WRNA13,WRNA14,WRNA15,WRNA16
1897.025943,5400.385381,41489.86324,3846.515326,5403.449753,6034.902217,3888.625527,92.2869775,207.6405524,689.4067405
5538.420153,9314.278351,1952.336401,5443.410655,4344.459574,3831.035117,4586.749109,37.59819875,41.38459471,112.6709779
568.2888613,495.5317481,50.9471,707.3035035,388.7679347,689.7331822,1238.968782,411.3305531,1878.165487,1863.558577
12.41004452,0,0,18.70057945,331.6856114,15.58023944,222.9164042,31.50888531,2118.637629,3088.259693
863.4272452,6115.484417,426.3673889,211.5361771,162.8722194,0,995.178803,0,1361.467312,654.0444625
12.03880935,400.4124483,23.53426667,1211.467511,1020.071368,1086.440951,1127.231621,39.33641641,322.7150707,184.5279933
1525.035742,0,0,603.3092974,31.25524167,139.0179258,278.2653152,0,936.9077068,973.4645315
905.9050097,35.07271111,2684.099789,485.7722164,323.0034603,1367.453822,616.3074558,393.6561875,89.86824988,274.6155278
76.65523871,710.1869222,37.22254167,44.91112479,2438.092387,362.4885528,58.55164061,17.16982813,61.47538306,157.786918
1443.787784,10.61617528,35.12306194,508.2606313,1122.535084,886.7511156,276.2583448,13.76714063,117.4967138,81.6710348
0,0,0,6.781847895,0,0,35.1739697,0,699.9716059,613.086957
57.49146452,3260.98245,837.5073889,205.8107712,997.0337444,306.6540536,641.9607673,15.41779063,109.7170379,130.5748154
458.9532435,23.07995944,78.16736111,168.6829203,262.1235678,221.7028831,651.2610439,0,412.0146628,237.2635341
0,0,0,19.84935316,0,0,0,0,879.7063109,309.7971866
0,41.90102778,96.84449167,90.61896579,1124.635653,559.2686222,166.2204485,0,41.92952294,159.5396758
176.0674516,0,0,0,995.0013889,0,0,0,153.7832906,451.787379
66.15450323,83.392075,47.28804944,197.2997258,992.7253533,70.86641944,259.9081824,0,261.013898,156.0216797
235.6564774,57.04599444,0,731.5330197,107.1894694,1138.419425,719.6117839,8.980346875,7.780025882,0
22.74152871,399.3647564,102.3280056,1281.143079,458.0045097,759.1052492,655.8413791,8.980346875,3.088585529,8.6714735
0,137.6399817,299.6040972,31.78141218,696.1703308,15.65258889,48.94730697,18.71138516,361.5969852,146.5271416
125.242141,83.53581278,0,295.2807188,458.5182189,245.1486133,329.3459394,0,243.51907,106.8345583
0,0,0,2.930023684,99.33594444,0,0,0,663.459322,203.994213
41.12525806,0,0,35.02773976,0,1660.747084,49.44365364,0,13.30651424,10.9620876
0,0,0,0,0,0,0,0,811.6293612,77.217364
112.1226452,47.58611111,384.9447778,15.21186579,101.0907139,265.2447306,109.7242424,0,224.2959747,367.1448698
0,0,0,0,27.638925,0,0,0,60.81692353,687.972444
0,0,0,7.375779211,391.8021194,0,6.549137273,0,312.9748498,276.788926
83.16103226,34.94327222,0,180.4305837,29.7272,713.8534692,41.41015273,22.95513656,216.2666402,132.5304047
0,0,0,3.273975579,6.909731389,47.01979444,16.87027152,6.4777925,152.1106473,549.8856812
0,737.1567889,0,3.61428,0,0,0,0,293.864348,419.274083
0,0,0,5.667461842,0,0,118.2838797,0,163.2166315,361.2253304
0,0,0,0,0,0,0,0,321.3205153,278.4346646
0,0,0,0,0,0,0,0,394.0087894,216.2771686
0,0,0,0,475.6897444,0,26.83274848,0,197.8324616,141.040645
0,0,0,0,0,0,0,0,331.1058118,286.15866
0,0,0,0,1114.770083,0,0,0,0,0
26.89352581,0,0,13.07277684,184.9270544,211.056,61.93671485,7.334678594,226.8512345,76.9078814
0,18.10637056,0,8.558030289,219.4842761,0,19.33274121,0,235.2474607,176.3460936
0,0,0,3.371979737,0,0,0,0,305.3403182,191.317381
101.9140042,424.4758369,3263.862364,528.1011919,432.9183372,82.99068694,310.8384048,0,3.384312471,8.9803417
22.5818,0,21.93073167,399.1642262,49.833285,10.13183722,75.28225394,0,155.5519907,215.7585221
0,0,0,0,153.9310867,0,16.30461818,0,205.0545482,133.605075
95.49422903,484.6660278,70.93456944,24.94314671,191.5703894,0,106.8038088,17.09212813,120.7841071,90.8791069
44.01690323,0,0,0,0,0,344.3225509,0,72.35396706,98.5707598
0,465.8754278,0,2.286304737,192.2903389,0,60.59692727,0,157.2600232,88.4988034
