R2,MIS1,MIS2,MIS3,MIS4,MIS5,MIS6,ISMF,ISMU,NIS1,NIS2
MIS1,1,0.649995242,0.112281057,0.788153599,0.516029234,0.51028326,0.741932071,0.0591359,0.016490154,0.024859665
MIS2,0.649995242,1,0.201532221,0.644786125,0.529313646,0.462835666,0.731952812,0.015166905,0.027854284,0.019442472
MIS3,0.112281057,0.201532221,1,0.33568152,0.504016551,0.645059938,0.400295084,0.036552007,0.000366481,0.02110658
MIS4,0.788153599,0.644786125,0.33568152,1,0.712365351,0.778064514,0.93027744,0.0586916,0.004047254,0.018709892
MIS5,0.516029234,0.529313646,0.504016551,0.712365351,1,0.749023249,0.731584558,0.039317285,0.00335739,0.028945857
MIS6,0.51028326,0.462835666,0.645059938,0.778064514,0.749023249,1,0.799824736,0.108435946,0.001417428,0.023165502
ISMF,0.741932071,0.731952812,0.400295084,0.93027744,0.731584558,0.799824736,1,0.10738082,0.02793526,0.049368625
ISMU,0.0591359,0.015166905,0.036552007,0.0586916,0.039317285,0.108435946,0.10738082,1,0.141084907,0.16393275
NIS1,0.016490154,0.027854284,0.000366481,0.004047254,0.00335739,0.001417428,0.02793526,0.141084907,1,0.736177786
NIS2,0.024859665,0.019442472,0.02110658,0.018709892,0.028945857,0.023165502,0.049368625,0.16393275,0.736177786,1
