KO	MIS1	MIS2	MIS3	MIS4	MIS5	MIS6	ISMF	ISMU	NIS1	NIS2
K01915	3.278073499	3.732424833	4.617942014	3.58506758	3.732671198	3.78067031	3.589796234	1.965145128	2.317314267	2.838476155
K07795	3.743385977	3.969149259	3.290554874	3.735871179	3.63793586	3.583316246	3.66150508	1.57517859	1.6168492	2.051815918
K02406	2.754569908	2.695072361	1.707127993	2.849606423	2.589691555	2.83868175	3.093060714	2.614192025	3.273734087	3.270343281
K03406	1.093808333	-3	-3	1.271878287	2.520727941	1.192602002	2.348143977	1.498446822	3.326056886	3.489713954
K03563	2.936226252	3.786430935	2.629784998	2.325386705	2.211849681	-3	2.997901554	-3	3.134007538	2.815607937
K04771	1.08061961	2.602508655	1.371719124	3.08331213	3.008630983	3.036006527	3.052013548	1.594805833	2.508820593	2.266064612
K02398	3.183280307	-3	-3	2.780540738	1.494936756	2.143073928	2.444460637	-3	2.971697275	2.988320579
K02556	2.957083141	1.544981721	3.42879882	2.686433566	2.509208519	3.135912987	2.789798126	2.595118185	1.953611117	2.438726672
K07165	1.884547506	2.851373282	1.570817692	1.652363602	3.387050337	2.559295494	1.767546486	1.234791241	1.788708308	2.198073746
K11690	3.159503664	1.026008987	1.545604734	2.706087326	3.05020031	2.947802233	2.441316977	1.138875293	2.070029416	1.912073376
K02650	-3	-3	-3	0.831412078	-3	-3	1.546233732	-3	2.845081044	2.787522785
K00626	1.759610926	3.513348595	2.922989166	2.31347021	2.998710293	2.486650126	2.807509164	1.188050311	2.040278032	2.115862747
K03092	2.66176939	1.363253858	1.893031007	2.227073686	2.418507727	2.3457733	2.813755768	-3	2.614913726	2.375232825
K07798	-3	-3	-3	1.297768238	-3	-3	-3	-3	2.944338201	2.491078871
K04751	-3	1.62223504	1.986079408	1.957223894	3.051012233	2.74762123	2.220687063	-3	1.622530279	2.202871427
K02657	2.245681545	-3	-3	-3	2.997824123	-3	-3	-3	2.186911974	2.654935056
